id,product_id,quantity,unit,observation,location,image_path,state,supplier,estimed_value,purchase_id,created_at,updated_at
3,128,0,UN,,P 12,,,,39.5,306,2015-11-06T18:57:46.970+00:00,2016-01-21T11:50:05.190+00:00
10,233,8,un,,,,,,19.5799999999999983,335,2015-11-17T14:22:10.613+00:00,2015-11-17T14:24:18.345+00:00
32,795,1,UN,,P 16,,,,16,360,2015-11-19T17:42:01.555+00:00,2015-12-10T18:29:13.700+00:00
34,671,3,UN,,P 10,,,,4.5,360,2015-11-19T17:42:01.584+00:00,2015-12-10T18:29:41.735+00:00
35,78,6,UN,,P 10,,,,38.5,360,2015-11-19T17:42:01.618+00:00,2015-12-10T18:30:04.254+00:00
36,434,2,UN,,P 15,,,,7,360,2015-11-19T17:42:01.673+00:00,2015-12-10T18:08:51.122+00:00
37,804,48,UN,,P 17,,,,8.33000000000000007,365,2015-11-19T18:56:01.275+00:00,2015-12-10T18:30:20.626+00:00
48,924,0,UN,,P 25,,,,512,427,2015-11-26T16:53:51.553+00:00,2016-01-25T16:34:34.451+00:00
50,652,1,UN,,P 25,,,,269.100000000000023,427,2015-11-26T16:53:51.569+00:00,2015-12-10T18:32:54.031+00:00
51,510,86,UN,,P 21,,,,1.14999999999999991,430,2015-11-26T17:15:34.271+00:00,2015-12-21T11:13:19.534+00:00
54,391,1,UN,,P 15,,,,45,457,2015-12-03T17:13:02.116+00:00,2015-12-10T18:02:48.200+00:00
60,579,0,UN,,P 8,,,,88.5,496,2015-12-09T13:53:50.865+00:00,2016-01-06T10:59:53.111+00:00
61,1074,2,UN,,gaveta,,,,47,496,2015-12-09T13:53:50.881+00:00,2015-12-10T18:10:27.310+00:00
62,1014,1,UN,,P 23,,,,49,,2015-12-10T11:06:14.751+00:00,2015-12-10T18:31:34.501+00:00
63,1015,6,UN,,P 15,,,,2,,2015-12-10T11:15:14.908+00:00,2015-12-10T11:38:25.740+00:00
64,1016,1,UN,,P 15,,,,8,,2015-12-10T11:17:20.174+00:00,2015-12-10T11:38:41.874+00:00
65,1017,4,UN,3842,P 14,,,,20,,2015-12-10T11:37:26.282+00:00,2015-12-10T11:37:26.282+00:00
67,1021,1,UN,,P 14,,,,30,,2015-12-10T11:41:58.686+00:00,2015-12-10T11:41:58.686+00:00
68,1022,1,UN,,P 14,,,,20,,2015-12-10T11:43:35.399+00:00,2015-12-10T11:43:47.797+00:00
69,1023,8,UN,T6818DP04,P 19,,,,350,,2015-12-10T11:46:02.686+00:00,2015-12-10T11:46:02.686+00:00
70,1024,9,UN,,P 19,,,,220,,2015-12-10T11:47:18.195+00:00,2015-12-10T11:47:18.195+00:00
71,1025,20,UN,,P 20,,,,12,,2015-12-10T11:53:07.439+00:00,2015-12-10T11:53:07.439+00:00
72,1026,4,UN,,P 13,,,,95,,2015-12-10T11:59:07.562+00:00,2015-12-10T11:59:07.562+00:00
73,1028,1,UN,,P 13,,,,200,,2015-12-10T12:21:03.067+00:00,2015-12-10T12:21:03.067+00:00
74,1029,2,UN,,P 13,,,,80,,2015-12-10T12:26:03.704+00:00,2015-12-10T12:26:03.704+00:00
75,1030,1,UN,,P 15,,,,200,,2015-12-10T12:27:35.019+00:00,2015-12-10T12:27:35.019+00:00
76,1031,2,UN,modelo antigo,P 15,,,,70,,2015-12-10T12:28:55.474+00:00,2015-12-10T12:28:55.474+00:00
77,1033,1,UN,cod. 1959,P 15,,,,65,,2015-12-10T12:37:23.917+00:00,2015-12-10T12:51:30.594+00:00
78,1034,16,UN,,P 18,,,,13.5,,2015-12-10T13:02:47.108+00:00,2015-12-10T13:02:47.108+00:00
79,1035,4,UN,,P 18,,,,30,,2015-12-10T13:04:24.724+00:00,2015-12-10T13:04:24.724+00:00
80,1036,2,UN,carrier,P 18,,,,45,,2015-12-10T13:05:48.919+00:00,2015-12-10T13:05:48.919+00:00
81,1037,10,UN,,P 18,,,,0.200000000000000011,,2015-12-10T13:08:17.572+00:00,2015-12-10T13:08:17.572+00:00
82,1038,10,UN,,P 18,,,,0.5,,2015-12-10T13:12:23.089+00:00,2015-12-10T13:12:23.089+00:00
83,1039,3,UN,,P 18,,,,23,,2015-12-10T13:14:39.649+00:00,2015-12-10T13:14:39.649+00:00
84,1040,9,UN,,P 18,,,,7,,2015-12-10T13:26:13.444+00:00,2015-12-10T13:26:13.444+00:00
85,1041,2,UN,,P 18,,,,5,,2015-12-10T13:28:21.849+00:00,2015-12-10T13:28:21.849+00:00
86,1042,1,UN,,P 18,,,,20,,2015-12-10T13:34:39.402+00:00,2015-12-10T13:34:39.402+00:00
87,1043,10,UN,,P 18,,,,50,,2015-12-10T13:36:30.769+00:00,2015-12-10T13:36:30.769+00:00
88,1045,1,UN,,P 18,,,,60,,2015-12-10T13:37:47.079+00:00,2015-12-10T13:37:47.079+00:00
89,1046,1,UN,,P 18,,,,30,,2015-12-10T13:39:09.184+00:00,2015-12-10T13:39:09.184+00:00
90,1047,3,UN,,P 18,,,,40,,2015-12-10T13:41:33.297+00:00,2016-01-26T11:13:35.061+00:00
91,1048,1,UN,,P 14,,,,20,,2015-12-10T13:43:41.515+00:00,2015-12-22T10:55:59.396+00:00
92,1049,3,UN,,P 14,,,,11,,2015-12-10T13:49:15.122+00:00,2015-12-10T13:49:15.122+00:00
93,1050,3,UN,,P 14,,,,11,,2015-12-10T13:50:27.600+00:00,2015-12-10T13:50:27.600+00:00
94,1051,2,UN,,P 14,,,,3,,2015-12-10T13:52:03.488+00:00,2015-12-10T13:52:03.488+00:00
