id,title,description,image_path,location,estimated_value,original_value,state,contract_id,created_at,updated_at,unit,devolution_date,number,note_number,responsible,quantity,code,buy_date
1,Aspirador de pó,ASPIRADOR PROF MONOF 20LT GT3000 PRO ELECTROLUX,,Senado,320,320,0,1,2015-10-29T19:43:36.818+00:00,2015-12-09T11:36:03.024+00:00,,,,,,2,,2015-11-02
2,Escada,ESCADA DE ALUMINIO 5 DEGRAUS PROFISSIONAL,,senado,120,120,0,1,2015-11-06T19:20:19.410+00:00,2015-12-09T11:35:43.237+00:00,,,,,,2,,2015-11-02
3,Escada,ESCADA DE ALUMINIO 7 DEGRAUS PROFISSIONAL,,senado,100,100,0,1,2015-11-06T19:21:42.597+00:00,2015-12-09T11:35:12.751+00:00,,,,,,2,,2015-11-02
4,Furadeira,FURADEIRA 1/2'' BOSCH 113D,,senado,290,290,0,1,2015-11-06T19:24:43.312+00:00,2015-12-09T11:35:53.494+00:00,,,,,,1,,2015-11-02
5, furadeira de impacto,FURADEIRA DE IMPACTO BOSCH GBH 24,,senado,420,420,0,1,2015-11-06T19:26:03.945+00:00,2015-12-09T11:35:23.115+00:00,,,,,,1,,2015-11-02
6,Lava jato semi prof,LAVADORA KARCHER HD 585,,senado,1200,1200,0,1,2015-11-06T19:28:37.278+00:00,2015-12-09T11:35:33.732+00:00,,,,,,1,,2015-11-02
7,maçarico ,maçarico de solda 201,,anatel,250,250,0,21,2015-11-23T13:58:29.536+00:00,2015-12-09T11:35:02.285+00:00,,,,,,1,,2015-11-13
8,regulador pressão ,regulador pressão acetileno,,anatel,250,250,0,21,2015-11-23T14:01:04.809+00:00,2015-12-09T11:34:51.177+00:00,,,,,,1,,2015-11-13
9,regulador pressão,regulador pressão oxigênio,,anatel,250,250,0,21,2015-11-23T14:02:04.886+00:00,2015-12-09T11:34:39.846+00:00,,,,,,1,,2015-11-13
10,carrinho,carrinho de oxigênio e acetileno,,anatel,320,320,0,21,2015-11-23T14:03:06.358+00:00,2015-12-09T11:34:13.957+00:00,,,,,,1,,2015-11-13
11,-,MAQUINA DE SOLDA GRANDE,,ANATEL,280,450,2,21,2015-11-26T12:52:54.506+00:00,2015-12-09T11:33:42.149+00:00,,,,,,1,021455,2002-01-01
12,-,LAVA JATO PROF KARCHER HD585,,ANATEL,1200,1200,0,21,2015-11-26T12:56:23.040+00:00,2015-12-09T11:34:27.621+00:00,,,,,,1,,2015-11-23
13,Relógio de ponto digital,Relógio de ponto digital prisma,,adm,1500,1500,0,9,2015-12-23T19:24:51.930+00:00,2015-12-23T19:27:43.920+00:00,,,,,,1,1088,2015-12-21
15,Lava jato ,Lava jato cinza/preto,,Usina ,1300,1300,0,25,2016-04-25T13:21:32.071+00:00,2016-07-11T18:56:17.857+00:00,,,,,,1,027249,2016-02-29
16,Maquina de Solda,Maquina de Solda nm250 vermelha/preta,,Usina ,650,650,0,25,2016-04-25T13:28:58.928+00:00,2016-07-11T18:56:29.527+00:00,,,,,,1,026666,2016-02-29
17,Aspirador de Pó,Aspirador de  Pó Eletrolux 3000 Laranja/preto ,,usina ,380,380,0,5,2016-04-25T13:46:05.420+00:00,2016-07-11T18:55:22.103+00:00,,,,,,1,480,2016-02-29
18,Regulador de Gás ,Regulador de Gás,,Usina ,0,300,0,25,2016-04-25T13:54:39.282+00:00,2016-07-11T18:55:07.648+00:00,,,,,,1,031822,2016-02-29
19,Parafusadeira Boch ,Parafusadeira azul/vermelha ,,Usina ,250,250,0,25,2016-04-25T14:01:32.882+00:00,2016-07-11T18:55:33.526+00:00,,,,,,1,485,2016-02-29
