id,title,description,observation,image_path,created_at,updated_at
1,sensor de temperatura em ambiente  para kit placa,,,,2015-09-27T21:24:08.205+00:00,2015-09-27T21:24:08.205+00:00
2,tubo de cobre flex 1/2 ,,,,2015-09-27T21:31:01.675+00:00,2015-09-27T21:31:01.675+00:00
3,isolamento armaflex h-0006,,,,2015-09-27T21:35:59.099+00:00,2015-09-27T21:35:59.099+00:00
4,isolamento armaflex h-015,,,,2015-09-27T21:35:59.111+00:00,2015-09-27T21:35:59.111+00:00
5,conector sak 006 - borneira,,,,2015-09-27T21:40:09.949+00:00,2015-09-27T21:40:09.949+00:00
6,contactora cwm 25a weg - 220v,,,,2015-09-27T21:41:54.958+00:00,2015-09-27T21:41:54.958+00:00
7,disjuntor curva c tripolar 40a,,,,2015-09-27T21:43:58.277+00:00,2015-09-27T21:43:58.277+00:00
8,pino macho 2p + t 10a ,,,,2015-09-27T21:43:58.296+00:00,2015-09-27T21:43:58.296+00:00
9,contactora cwm 9a weg - 220v,,,,2015-09-27T21:45:25.509+00:00,2015-09-27T21:45:25.509+00:00
10,disjuntor curva n tripolar 40a,,,,2015-09-27T21:45:25.524+00:00,2015-09-27T21:45:25.524+00:00
11,reparo em motor simens 10cv incluíndo rebobinamento e troca de rolamentos,,,,2015-09-27T21:49:10.411+00:00,2015-09-27T21:49:10.411+00:00
12,conserto de bomba imbil 140 - incluso troca de selo mecânico,,,,2015-09-27T21:50:47.187+00:00,2015-09-27T21:50:47.187+00:00
13,tubo de cobre 1/4,,,,2015-09-27T21:55:14.663+00:00,2015-09-27T21:55:14.663+00:00
14,tubo de cobre 3/8,,,,2015-09-27T21:55:14.678+00:00,2015-09-27T21:55:14.678+00:00
15,tubo de cobre 1/2,,,,2015-09-27T21:55:14.690+00:00,2015-09-27T21:55:14.690+00:00
16,tubo de cobre 5/8,,,,2015-09-27T21:55:14.705+00:00,2015-09-27T21:55:14.705+00:00
17,tubo de cobre 7/8,,,,2015-09-27T21:55:14.716+00:00,2015-09-27T21:55:14.716+00:00
18,tubo de cobra 3/4,,,,2015-09-27T22:00:42.844+00:00,2015-09-27T22:00:42.844+00:00
19,locação cil oxigênio 1m³,,,,2015-09-27T22:06:10.871+00:00,2015-09-27T22:06:10.871+00:00
20,locação cil acetileno 1kg,,,,2015-09-27T22:06:10.883+00:00,2015-09-27T22:06:10.883+00:00
21,locação cil nitrogênio 7/10 m³,,,,2015-09-27T22:06:10.896+00:00,2015-09-27T22:06:10.896+00:00
22,isolamento isoline f 06,,,,2015-09-27T22:10:33.016+00:00,2015-09-27T22:10:33.016+00:00
23,isolamento isoline f 10,,,,2015-09-27T22:10:33.029+00:00,2015-09-27T22:10:33.029+00:00
24,isolamento isoline f 12,,,,2015-09-27T22:10:33.041+00:00,2015-09-27T22:10:33.041+00:00
25,isolamento isoline f 15 ,,,,2015-09-27T22:10:33.053+00:00,2015-09-27T22:10:33.053+00:00
26,valvula tbv-c dn 20 normal flow - 3/4 com atuador on/off 220v,,,,2015-09-27T22:16:16.083+00:00,2015-09-27T22:16:16.083+00:00
27,termostato ambiente 24v floating proporcional,,,,2015-09-27T22:16:16.097+00:00,2015-09-27T22:16:16.097+00:00
28,fita aluminizada,,,,2015-09-27T22:21:48.002+00:00,2015-09-27T22:21:48.002+00:00
29,pneu 750-16 pl-g8 ny,,,,2015-09-27T22:39:21.982+00:00,2015-09-27T22:39:21.982+00:00
30,camara de ar qbom,,,,2015-09-27T22:39:21.995+00:00,2015-09-27T22:39:21.995+00:00
31,fitão,,,,2015-09-27T22:39:22.010+00:00,2015-09-27T22:39:22.010+00:00
32,anel elastico,,,,2015-09-27T22:56:02.990+00:00,2015-09-27T22:56:02.990+00:00
33,motor ventilador 2 eixos,,,,2015-09-28T12:49:09.034+00:00,2015-09-28T12:49:09.034+00:00
34,gas r-22,,,,2015-09-28T13:48:08.746+00:00,2015-09-28T13:48:08.746+00:00
35,isolamento armaflex h-006,,,,2015-09-28T14:21:26.701+00:00,2015-09-28T14:21:26.701+00:00
36,prestaÇÃo de serviÇos de tratamento quimico preventivo da central de ar cond.,,,,2015-09-28T14:27:57.306+00:00,2015-09-28T14:27:57.306+00:00
37,compressor de 18.000 btus,,,,2015-09-28T14:33:44.079+00:00,2015-09-28T14:33:44.079+00:00
38,exaustor aci 200 ,,,,2015-09-28T14:50:20.595+00:00,2015-09-28T14:50:20.595+00:00
39,trincha 1/2,,,,2015-09-28T14:57:58.918+00:00,2015-09-28T14:57:58.918+00:00
40,zarcão ,,,,2015-09-28T14:57:58.932+00:00,2015-09-28T14:57:58.932+00:00
41,agua raz solvente,,,,2015-09-28T14:57:58.969+00:00,2015-09-28T14:57:58.969+00:00
42,cesta basica ,,,,2015-09-28T15:01:47.914+00:00,2015-09-28T15:01:47.914+00:00
43,gás r22,,,,2015-09-28T17:40:10.836+00:00,2015-09-28T17:40:10.836+00:00
44,solda foscoper,,,,2015-09-28T17:40:10.900+00:00,2015-09-28T17:40:10.900+00:00
45,bomba de dreno gotec ,,,,2015-09-28T17:40:10.928+00:00,2015-09-28T17:40:10.928+00:00
46,valvula schrader 1/4,,,,2015-09-28T17:42:04.161+00:00,2015-09-28T17:42:04.161+00:00
47,trincha 695 tigre,,,,2015-09-28T17:58:52.183+00:00,2015-09-28T17:58:52.183+00:00
48,lixa de ferro 180,,,,2015-09-28T17:58:52.190+00:00,2015-09-28T17:58:52.190+00:00
49,lixa de ferro 80,,,,2015-09-28T17:58:52.197+00:00,2015-09-28T17:58:52.197+00:00
50,tinta esmalte vermelho cereja glasurit,,,,2015-09-28T17:58:52.204+00:00,2015-09-28T17:58:52.204+00:00
51,capacitor 35 mfd 440v,,,,2015-09-28T18:02:17.930+00:00,2015-09-28T18:02:17.930+00:00
52,tubo isolante 5/8,,,,2015-09-28T18:02:17.939+00:00,2015-09-28T18:02:17.939+00:00
53,painel frontal de plástico,,,,2015-09-28T18:04:41.838+00:00,2015-09-28T18:04:41.838+00:00
54,compressor danfos scroll 3tr 380v,,,,2015-09-28T18:08:13.270+00:00,2015-09-28T18:08:13.270+00:00
55,termostato lm ,,,,2015-09-28T18:12:26.243+00:00,2015-09-28T18:12:26.243+00:00
56,recarga de oxigenio ppu,,,,2015-09-28T18:26:34.710+00:00,2015-09-28T18:26:34.710+00:00
57,recarga de acetileno ppu,,,,2015-09-28T18:26:34.716+00:00,2015-09-28T18:26:34.716+00:00
58,recarga de nitrogenio ppu,,,,2015-09-28T18:26:34.722+00:00,2015-09-28T18:26:34.722+00:00
59,"chapa galv lisa #24 2x1,20",,,,2015-09-28T18:39:12.706+00:00,2015-09-28T18:39:12.706+00:00
60,dedetização quadrimestral,,,,2015-09-28T18:53:48.531+00:00,2015-09-28T18:53:48.531+00:00
61,limpador multi uso start,,,,2015-09-28T19:02:05.018+00:00,2015-09-28T19:02:05.018+00:00
62,detergente neutro usilimp,,,,2015-09-28T19:02:05.033+00:00,2015-09-28T19:02:05.033+00:00
63,agua sanitária ,,,,2015-09-28T19:13:43.758+00:00,2015-09-28T19:13:43.758+00:00
64,pano de chão,,,,2015-09-28T19:13:43.763+00:00,2015-09-28T19:13:43.763+00:00
65,sabão em pó 5kl,,,,2015-09-28T19:13:43.768+00:00,2015-09-28T19:13:43.768+00:00
66,papel higienico charme,,,,2015-09-28T19:13:43.776+00:00,2015-09-28T19:13:43.776+00:00
67,papel toalha ,,,,2015-09-28T19:13:43.793+00:00,2015-09-28T19:13:43.793+00:00
68,saco de lixo 100 lts,,,,2015-09-28T19:13:43.801+00:00,2015-09-28T19:13:43.801+00:00
69,saco de lixo 20 lts,,,,2015-09-28T19:13:43.806+00:00,2015-09-28T19:13:43.806+00:00
70,café export 500gr,,,,2015-09-28T19:13:43.810+00:00,2015-09-28T19:13:43.810+00:00
71,açucar cristal 5kl,,,,2015-09-28T19:13:43.815+00:00,2015-09-28T19:13:43.815+00:00
72,desinfetante lavanda,,,,2015-09-28T19:13:43.819+00:00,2015-09-28T19:13:43.819+00:00
73,pasta rosa cristal ,,,,2015-09-28T19:13:43.823+00:00,2015-09-28T19:13:43.823+00:00
74,removedor de cera,,,,2015-09-28T19:13:43.828+00:00,2015-09-28T19:13:43.828+00:00
75,mascara descartável,,,,2015-09-28T19:13:43.834+00:00,2015-09-28T19:13:43.834+00:00
76,luva de latex,,,,2015-09-28T19:13:43.839+00:00,2015-09-28T19:13:43.839+00:00
77,fita isolante 3m,,,,2015-09-28T19:13:43.843+00:00,2015-09-28T19:13:43.843+00:00
78,fita silver tape,,,,2015-09-28T19:13:43.877+00:00,2015-09-28T19:13:43.877+00:00
79,pilha palito aaa,,,,2015-09-28T19:14:46.085+00:00,2015-09-28T19:14:46.085+00:00
80,calça jeans tamanho pequeno,,,,2015-09-28T19:24:48.176+00:00,2015-09-28T19:24:48.176+00:00
81,calça jeans tamanho grande,,,,2015-09-28T19:24:48.187+00:00,2015-09-28T19:24:48.187+00:00
82,camisa polo azul,,,,2015-09-28T19:24:48.197+00:00,2015-09-28T19:24:48.197+00:00
83,botina ,,,,2015-09-28T19:50:02.724+00:00,2015-09-28T19:50:02.724+00:00
84,mangueira de dreno pvc 3/8,,,,2015-09-28T19:57:58.669+00:00,2015-09-28T19:57:58.669+00:00
85,mangueira de dreno pvc 1/2,,,,2015-09-28T19:57:58.673+00:00,2015-09-28T19:57:58.673+00:00
86,broca ar 5/32,,,,2015-09-28T19:57:58.677+00:00,2015-09-28T19:57:58.677+00:00
87,chave teste neon,,,,2015-09-28T20:05:36.545+00:00,2015-09-28T20:05:36.545+00:00
88,ferrolho chato ,,,,2015-09-28T20:05:36.609+00:00,2015-09-28T20:05:36.609+00:00
89,cadeado medio,,,,2015-09-28T20:05:36.617+00:00,2015-09-28T20:05:36.617+00:00
90,corrente galv ,,,,2015-09-28T20:05:36.623+00:00,2015-09-28T20:05:36.623+00:00
91,cadeado pequeno,,,,2015-09-28T20:05:36.630+00:00,2015-09-28T20:05:36.630+00:00
92,compressor de 12.000 btus,,,,2015-09-28T20:58:26.213+00:00,2015-09-28T20:58:26.213+00:00
93,compressor de 24.000 btus,,,,2015-09-28T20:58:26.221+00:00,2015-09-28T20:58:26.221+00:00
94,fusivel diazed 10a,,,,2015-09-29T13:29:41.801+00:00,2015-09-29T13:29:41.801+00:00
95,fusivel diazed 16a,,,,2015-09-29T13:29:41.819+00:00,2015-09-29T13:29:41.819+00:00
96,teste,,,,2015-09-29T16:52:15.558+00:00,2015-09-29T16:52:15.558+00:00
97,recolhedora de gás,,,,2015-09-29T17:37:48.304+00:00,2015-09-29T17:37:48.304+00:00
98,"redução 1/2"" p 1/4"" - amostra aqui no bacen",,,,2015-09-29T17:46:12.987+00:00,2015-09-29T17:46:12.987+00:00
99,"redução 1"" (rosca interna) para 1/4"" (rosca externa) - amostra aqui no bacen",,,,2015-09-29T17:46:12.995+00:00,2015-09-29T17:46:12.995+00:00
100,tramento quimico em maquinas,,,,2015-09-29T17:53:50.927+00:00,2015-09-29T17:53:50.927+00:00
101,parafuso auto atarrachante 4.8x45,,,,2015-09-29T17:58:56.806+00:00,2015-09-29T17:58:56.806+00:00
102,bucha s8,,,,2015-09-29T17:58:56.815+00:00,2015-09-29T17:58:56.815+00:00
103,chumbador de 1/4,,,,2015-09-29T17:58:56.821+00:00,2015-09-29T17:58:56.821+00:00
104,chumbador de 1/2,,,,2015-09-29T17:58:56.827+00:00,2015-09-29T17:58:56.827+00:00
105, serra copo diamantada 76mm,,,,2015-09-29T18:24:26.151+00:00,2015-09-29T18:24:26.151+00:00
106,serra copo de 32mm 1 1/4,,,,2015-09-29T18:24:26.161+00:00,2015-09-29T18:24:26.161+00:00
107,broca plus 8x160,,,,2015-09-29T18:24:26.172+00:00,2015-09-29T18:24:26.172+00:00
108,broca plus 10x160,,,,2015-09-29T18:24:26.200+00:00,2015-09-29T18:24:26.200+00:00
109,broca plus 14x160,,,,2015-09-29T18:24:26.207+00:00,2015-09-29T18:24:26.207+00:00
110,"broca ar 0,6mm",,,,2015-09-29T18:24:26.221+00:00,2015-09-29T18:24:26.221+00:00
111,"broca ar 0,8mm",,,,2015-09-29T18:24:26.233+00:00,2015-09-29T18:24:26.233+00:00
112,broca ar 1/4,,,,2015-09-29T18:24:26.242+00:00,2015-09-29T18:24:26.242+00:00
113,broca ar 3/8,,,,2015-09-29T18:24:26.252+00:00,2015-09-29T18:24:26.252+00:00
114,mangueira de pvc de 1/2,,,,2015-09-29T18:24:26.259+00:00,2015-09-29T18:24:26.259+00:00
115,correia a37,,,,2015-09-29T18:45:13.626+00:00,2015-09-29T18:45:13.626+00:00
116,tesoura para corte de chapa,,,,2015-09-29T20:11:28.099+00:00,2015-09-29T20:11:28.099+00:00
117,rebite 3.2x12,,,,2015-09-29T20:11:28.116+00:00,2015-09-29T20:11:28.116+00:00
118,capacete ,,,,2015-09-29T20:11:28.123+00:00,2015-09-29T20:11:28.123+00:00
119,"serrote de 12""",,,,2015-09-29T20:11:28.130+00:00,2015-09-29T20:11:28.130+00:00
120,cartucho preto,,,,2015-09-30T15:28:49.858+00:00,2015-09-30T15:28:49.858+00:00
121,cartucho colorido,,,,2015-09-30T15:28:51.508+00:00,2015-09-30T15:28:51.508+00:00
122,"recondicionamento de 2 compressores bitzer de 30tr,incluindo troca de todas peças,pintura reposição e testes finais",,,,2015-09-30T19:43:54.705+00:00,2015-09-30T19:43:54.705+00:00
123,"recondicionamento de 2 compressores bitzer 30tr,incluindo troca de peças,pintura,instalação final e testes",,,,2015-09-30T19:47:07.725+00:00,2015-09-30T19:47:07.725+00:00
124,"recondicionamento de 2 compressores bitzer 30tr incluindo troca de peças,pintura,instalaçao e testes final",,,,2015-09-30T19:49:37.608+00:00,2015-09-30T19:49:37.608+00:00
125,split inverter midea 22.000btus,,,,2015-09-30T20:39:06.252+00:00,2015-09-30T20:39:06.252+00:00
126,bomba de dreno maxi elgin,,,,2015-10-01T13:06:10.430+00:00,2015-10-01T13:06:10.430+00:00
127,filtro de cobre 2 saidas,,,,2015-10-01T13:16:26.095+00:00,2015-10-01T13:16:26.095+00:00
128,detergente masterplus 5lts,,,,2015-10-01T13:23:38.667+00:00,2015-10-01T13:23:38.667+00:00
129,recarga de nitrogenio industrial,,,,2015-10-01T13:27:38.167+00:00,2015-10-01T13:27:38.167+00:00
130,recarga de oxigenio industrial,,,,2015-10-01T13:27:38.187+00:00,2015-10-01T13:27:38.187+00:00
131,bucha skf h2312,,,,2015-10-01T13:33:16.393+00:00,2015-10-01T13:33:16.393+00:00
132,rolamento 1312ektn9 skf,,,,2015-10-01T13:33:16.405+00:00,2015-10-01T13:33:16.405+00:00
133,porca curta de 1/4,,,,2015-10-01T14:04:10.506+00:00,2015-10-01T14:04:10.506+00:00
134,porca curta de 5/8,,,,2015-10-01T14:04:10.540+00:00,2015-10-01T14:04:10.540+00:00
135,fita elastomérica,,,,2015-10-01T14:11:55.081+00:00,2015-10-01T14:11:55.081+00:00
136,gas 141b,,,,2015-10-01T14:11:55.088+00:00,2015-10-01T14:11:55.088+00:00
137,suporte para split 22.000btus,,,,2015-10-01T14:11:55.105+00:00,2015-10-01T14:11:55.105+00:00
138,kit placa k42bb5lc,,,,2015-10-01T14:15:15.428+00:00,2015-10-01T14:15:15.428+00:00
139,grelha grande,,,,2015-10-01T14:15:15.446+00:00,2015-10-01T14:15:15.446+00:00
140,"1-fornecimento e instalação de divisória tipo naval da duratex,  estruturada em aço,e instalação de porta de divisória completa.",,,,2015-10-01T14:24:50.759+00:00,2015-10-01T14:24:50.759+00:00
141,"reparo em conjunto de bomba mancalizada ,motor weg,bomba imbil,troca de selo e outros reparos",,,,2015-10-01T17:04:55.312+00:00,2015-10-01T17:04:55.312+00:00
142,bomba de dreno mini universal,,,,2015-10-01T17:13:36.545+00:00,2015-10-01T17:13:36.545+00:00
143,bomba de dreno maxi universal,,,,2015-10-01T17:13:36.707+00:00,2015-10-01T17:13:36.707+00:00
144,cabo pp 4x25,,,,2015-10-01T17:13:36.718+00:00,2015-10-01T17:13:36.718+00:00
145,gas r-410,,,,2015-10-01T17:33:26.452+00:00,2015-10-01T17:33:26.452+00:00
146,recarga de cartucho impressora hp,,,,2015-10-01T18:37:28.357+00:00,2015-10-01T18:37:28.357+00:00
147,mangueira de serviço de 1/4 para 3/8 azul,,,,2015-10-01T18:51:56.610+00:00,2015-10-01T18:51:56.610+00:00
148,contactora trifásica 25 a,,,,2015-10-01T18:51:56.622+00:00,2015-10-01T18:51:56.622+00:00
149,abastecimento veículo sonata sr francisco,,,,2015-10-01T18:57:34.864+00:00,2015-10-01T18:57:34.864+00:00
150,abastecimento veículo walmiron,,,,2015-10-01T18:57:34.883+00:00,2015-10-01T18:57:34.883+00:00
151,abastecimento veículo mauro,,,,2015-10-01T18:57:34.903+00:00,2015-10-01T18:57:34.903+00:00
152,abastecimento veículo helio,,,,2015-10-01T18:57:34.948+00:00,2015-10-01T18:57:34.948+00:00
153,abastecimento veículo jorge,,,,2015-10-01T18:57:34.989+00:00,2015-10-01T18:57:34.989+00:00
154,abastecimento veículo frontier sr francisco,,,,2015-10-01T18:57:35.021+00:00,2015-10-01T18:57:35.021+00:00
155,abastecimento veículo marcos,,,,2015-10-01T18:57:35.114+00:00,2015-10-01T18:57:35.114+00:00
156,abastecimento saveiro ovs 4138,,,,2015-10-01T18:57:35.141+00:00,2015-10-01T18:57:35.141+00:00
157,cola,,,,2015-10-01T19:02:55.642+00:00,2015-10-01T19:02:55.642+00:00
158,plastico para pasta,,,,2015-10-01T19:02:55.655+00:00,2015-10-01T19:02:55.655+00:00
159,caneta vermelha,,,,2015-10-01T19:02:55.670+00:00,2015-10-01T19:02:55.670+00:00
160,locação relógio de ponto,,,,2015-10-01T19:06:37.463+00:00,2015-10-01T19:06:37.463+00:00
161,locação de maquina de xerox,,,,2015-10-01T19:10:52.054+00:00,2015-10-01T19:10:52.054+00:00
162,abastecimento veículo ribamar,,,,2015-10-01T19:29:16.472+00:00,2015-10-01T19:29:16.472+00:00
163,abastecimento veículo bruno,,,,2015-10-01T19:29:16.485+00:00,2015-10-01T19:29:16.485+00:00
164,abastecimento veículo edson,,,,2015-10-01T19:29:16.500+00:00,2015-10-01T19:29:16.500+00:00
165,terminal femea isol 22,,,,2015-10-01T19:51:52.730+00:00,2015-10-01T19:51:52.730+00:00
166,terminal femea isol 23,,,,2015-10-01T19:51:52.741+00:00,2015-10-01T19:51:52.741+00:00
167,terminal femea isol 21,,,,2015-10-01T19:51:52.751+00:00,2015-10-01T19:51:52.751+00:00
168,terminal pre isolado olhal 5mm,,,,2015-10-01T19:51:52.761+00:00,2015-10-01T19:51:52.761+00:00
169,terminal pre isolado olhal 10mm,,,,2015-10-01T19:51:52.771+00:00,2015-10-01T19:51:52.771+00:00
170,abraçadeira de nylon,,,,2015-10-01T19:51:52.781+00:00,2015-10-01T19:51:52.781+00:00
171,capacitor 4 ouf,,,,2015-10-01T19:51:52.791+00:00,2015-10-01T19:51:52.791+00:00
172,capacitor 30 ouf,,,,2015-10-01T19:51:52.801+00:00,2015-10-01T19:51:52.801+00:00
173,alicate catraca,,,,2015-10-01T19:51:52.811+00:00,2015-10-01T19:51:52.811+00:00
174,troca de valvula retenção compressor,,,,2015-10-01T19:56:22.968+00:00,2015-10-01T19:56:22.968+00:00
175,adesivo krona,,,,2015-10-01T20:00:02.340+00:00,2015-10-01T20:00:02.340+00:00
176,trincha 1 1/2,,,,2015-10-01T20:00:02.367+00:00,2015-10-01T20:00:02.367+00:00
177,pulverizador 1500ml,,,,2015-10-01T20:00:02.384+00:00,2015-10-01T20:00:02.384+00:00
178,adap pvc solda 32mm,,,,2015-10-01T20:07:13.764+00:00,2015-10-01T20:07:13.764+00:00
179,luva pvc solda 32mm,,,,2015-10-01T20:07:13.777+00:00,2015-10-01T20:07:13.777+00:00
180,fita de acabamento polipex,,,,2015-10-01T20:07:13.790+00:00,2015-10-01T20:07:13.790+00:00
181,cartucho hp black,,,,2015-10-01T20:12:10.458+00:00,2015-10-01T20:12:10.458+00:00
182,cartucho hp cyan,,,,2015-10-01T20:12:10.473+00:00,2015-10-01T20:12:10.473+00:00
183,cartucho hp magenta,,,,2015-10-01T20:12:10.496+00:00,2015-10-01T20:12:10.496+00:00
184,cartucho hp yellow,,,,2015-10-01T20:12:10.515+00:00,2015-10-01T20:12:10.515+00:00
185,correia phg b100,,,,2015-10-01T20:21:51.953+00:00,2015-10-01T20:21:51.953+00:00
186,luva raspa brisa c/reforco 7cm,,,,2015-10-01T20:21:51.965+00:00,2015-10-01T20:21:51.965+00:00
187,correia phg c78,,,,2015-10-01T20:21:51.976+00:00,2015-10-01T20:21:51.976+00:00
188,conserto de motor ventilador 1/5 cv,,,,2015-10-01T20:23:59.205+00:00,2015-10-01T20:23:59.205+00:00
189,grelha retorno retangular ar-375 x 125,,,,2015-10-01T20:41:11.963+00:00,2015-10-01T20:41:11.963+00:00
190,pino 2p+t,,,,2015-10-01T20:44:05.504+00:00,2015-10-01T20:44:05.504+00:00
191,disjuntor 10a siemens,,,,2015-10-01T20:44:05.515+00:00,2015-10-01T20:44:05.515+00:00
192,fusivel diazed 6a,,,,2015-10-01T20:44:05.525+00:00,2015-10-01T20:44:05.525+00:00
193,correia b81,,,,2015-10-01T20:48:35.224+00:00,2015-10-01T20:48:35.224+00:00
194,barra roscada de 1/4,,,,2015-10-01T20:54:35.517+00:00,2015-10-01T20:54:35.517+00:00
195,rebite,,,,2015-10-01T20:54:35.556+00:00,2015-10-01T20:54:35.556+00:00
196,fita isolante ,,,,2015-10-01T20:54:35.580+00:00,2015-10-01T20:54:35.580+00:00
