id,purchase_id,product_id,quantity,unit,unit_value,total_value,contract_value,observation,created_at,updated_at
1,1,1,6,0,25,150,0,,2015-09-27T21:27:59.514+00:00,2015-09-27T21:27:59.514+00:00
5,4,5,25,0,2.81999999999999984,70.5,0,,2015-09-27T21:40:09.991+00:00,2015-09-27T21:40:09.991+00:00
7,4,6,1,0,113,113,0,,2015-09-27T21:42:23.479+00:00,2015-09-27T21:42:23.479+00:00
9,6,8,13,0,4.15000000000000036,53.9500000000000028,0,,2015-09-27T21:43:58.333+00:00,2015-09-27T21:43:58.333+00:00
13,8,11,1,0,780,780,0,,2015-09-27T21:49:10.430+00:00,2015-09-27T21:49:10.430+00:00
15,10,13,11,1,31.2600000000000016,365.740000000000009,0,,2015-09-27T21:55:14.743+00:00,2015-09-27T21:58:39.014+00:00
54,26,51,1,0,17.75,17.75,0,,2015-09-28T18:02:17.958+00:00,2015-09-28T18:02:17.958+00:00
55,26,52,10,2,1.3600000000000001,13.5999999999999996,0,,2015-09-28T18:02:17.960+00:00,2015-09-28T18:02:17.960+00:00
56,27,53,1,0,160,160,0,,2015-09-28T18:04:41.850+00:00,2015-09-28T18:04:41.850+00:00
16,10,14,11,1,31.1999999999999993,372.839999999999975,0,,2015-09-27T21:55:14.747+00:00,2015-09-27T22:00:42.858+00:00
17,10,15,15,1,31.1999999999999993,492.95999999999998,0,,2015-09-27T21:55:14.751+00:00,2015-09-27T22:00:42.864+00:00
18,10,16,36,1,31.1999999999999993,1129.44000000000005,0,,2015-09-27T21:55:14.754+00:00,2015-09-27T22:00:42.867+00:00
19,10,17,30,1,35.2999999999999972,1092.52999999999997,0,,2015-09-27T21:55:14.757+00:00,2015-09-27T22:00:42.870+00:00
20,10,18,12,1,31.1999999999999993,377.519999999999982,0,,2015-09-27T22:00:42.873+00:00,2015-09-27T22:00:42.873+00:00
21,11,19,3,0,40,120,0,,2015-09-27T22:06:10.916+00:00,2015-09-27T22:06:10.916+00:00
22,11,20,3,0,40,120,0,,2015-09-27T22:06:10.923+00:00,2015-09-27T22:06:10.923+00:00
24,12,22,80,2,1.8899999999999999,151.199999999999989,0,,2015-09-27T22:10:33.074+00:00,2015-09-27T22:10:33.074+00:00
25,12,23,60,2,2,120,0,,2015-09-27T22:10:33.078+00:00,2015-09-27T22:10:33.078+00:00
26,12,24,60,2,2.12000000000000011,127.200000000000003,0,,2015-09-27T22:10:33.081+00:00,2015-09-27T22:10:33.081+00:00
27,12,25,80,2,2.43999999999999995,195.199999999999989,0,,2015-09-27T22:10:33.086+00:00,2015-09-27T22:10:33.086+00:00
30,14,28,150,0,2.5,375,0,,2015-09-27T22:21:48.019+00:00,2015-09-27T22:21:48.019+00:00
31,15,29,2,0,410,820,0,,2015-09-27T22:39:22.029+00:00,2015-09-27T22:39:22.029+00:00
58,29,55,1,0,60,60,0,,2015-09-28T18:12:26.262+00:00,2015-09-28T18:12:26.262+00:00
32,15,30,2,0,55,110,0,,2015-09-27T22:39:22.033+00:00,2015-09-27T22:41:02.708+00:00
33,15,31,2,0,1.80000000000000004,3.60000000000000009,0,,2015-09-27T22:39:22.038+00:00,2015-09-27T22:41:02.712+00:00
34,16,32,4,0,64,256,0,,2015-09-27T22:56:03.010+00:00,2015-09-27T22:56:03.010+00:00
28,13,26,5,0,247.150000000000006,1235.75,3100,,2015-09-27T22:16:16.116+00:00,2015-09-28T13:53:10.114+00:00
23,11,21,2,0,40,80,0,,2015-09-27T22:06:10.927+00:00,2015-09-28T13:58:10.980+00:00
14,9,12,1,0,500,500,322,,2015-09-27T21:50:47.205+00:00,2015-09-28T13:59:19.765+00:00
8,6,7,1,0,46.6300000000000026,46.6300000000000026,53.1599999999999966,,2015-09-27T21:43:58.329+00:00,2015-09-28T14:04:44.720+00:00
6,5,6,2,0,113,226,257.680000000000007,,2015-09-27T21:41:54.993+00:00,2015-09-28T14:11:00.115+00:00
10,7,6,2,0,94.5100000000000051,189.02000000000001,215.52000000000001,,2015-09-27T21:45:25.543+00:00,2015-09-28T14:13:27.208+00:00
11,7,9,1,0,61.4600000000000009,61.4600000000000009,70.0699999999999932,,2015-09-27T21:45:25.547+00:00,2015-09-28T14:13:27.216+00:00
12,7,10,1,0,32.5499999999999972,32.5499999999999972,37.1099999999999994,,2015-09-27T21:45:25.551+00:00,2015-09-28T14:13:27.219+00:00
2,2,2,30,2,5.79000000000000004,173.699999999999989,504,,2015-09-27T21:31:01.708+00:00,2015-09-28T14:17:40.669+00:00
3,3,35,10,2,5,50,25.3999999999999986,,2015-09-27T21:35:59.130+00:00,2015-09-28T14:21:26.720+00:00
